"LANGUAGE","Czech","English","Comment"

"STRM_ONLOAD_INTRO","Je po všem","It's over","loading screen"
"STRM_ONLOAD_MISSION","Opouštění Everonu","Leaving Everon","loading screen"



STRM_m07v01,"Ne","Come on Twombly. Take it on the right. Lietenant Muday is waiting for us.","sol"
STRM_m07v02,"Ne","Well. Now let's go to lietenant Muday until he will scream again.","sol"
STRM_m07v03,"Ne","Buddy, hey buddy can you hear me?","sol"
STRM_m07v04,"Ne","Yeah, it whistles in my ears. What happened?","jason"
STRM_m07v05,"Ne","We were shot down.\nThere are a few of us who survived and it seems, that we've lost the contact with the airport.\nTake this. I]ve found it in that chinook.\nCome on buddy.","sol"

STRM_m07v06,"Ne","We're fucked! What we should we do now?","sol"
STRM_m07v07,"Ne","Calm yourself soldier. It's not over yet. First we should check for some ammo from the bodies by the chinook.","jason"
STRM_m07v08,"Ne","Russians take cover!","jason"

STRM_m07v09,"Ne","Looks like that's it. We have to go now.\nIf the Russians still did not attack, we can try to get to Montignac. Then there's the only way and it's the Airport.","jason"

STRM_m07v10,"Ne","Don't shoot! We're Americans!","sol"
STRM_m07v11,"Ne","Guys, I'm so glad to see you! Did you see some Russians anywhere?","jason"
STRM_m07v12,"Ne","Yes, they've already striked and seized Montignac. It's useless to go there.","sol"
STRM_m07v13,"Ne","So the only way is realy Airport. Hopefully there are still ours.","jason"

STRM_m07v14,"Ne","Montignac has fallen. We have to try to get the Airport.","jason"

STRM_m07v15,"Ne","It sounds like bombardment. The Russians have probably launched offensive... Fuck!","jason"

STRM_m07v16,"Ne","Fuck, fuck, fuck!","jason"
STRM_m07v17,"Ne","Don't move!","rus"
STRM_m07v18,"Ne","Put down your weapon and hands up, hurry!","rus"
STRM_m07v19,"Ne","Are you deaf or what? Put the weapon down and give up!","rus2"
STRM_m07v20,"Ne","We will not repeat it again, American! Either you put it down or we will kill immediatelly, understood?","rus"
STRM_m07v21,"Ne","Well I am giving up! Don't schoot, don't schoot, please!","jason"

STRM_m07r01,"Ne","WAIT TILL EVERONE'S ONBOARD.","bravo"
STRM_m07r02,"Ne","EVERYONE HERE? LET'S ROLL","bravo"
STRM_m07r03,"Ne","TWOMBLY, THIS IS LIETENANT MUDAY. I SAY AGAIN, THIS IS LIETENANT MUDAY. WHERE THE FUCK ARE YOU WITH YOUR SQUAD. HURRY UP!","muday"
STRM_m07r04,"Ne","WE ARE ALMOST THERE, LIETENANT. TWOMBLY OUT.","twombly"
STRM_m07r05,"Ne","FINALLY. YOU'RE HERE TWOMBLY. STOP THE TRUCK AND WAIT UNTIL EVERYONE GET OUT.","muday"
STRM_m07r06,"Ne","OK. NOW PARK THE TRUCK NEXT TO THE OTHERS ON THE LEFT RIGHT BY THE BUILDING THERE.","muday"
STRM_m07r07,"Ne","GREAT. THAT'S ALL FROM MY SIDE TWOMBLY. GET IN THE CHINOOK AND GET OUT. WE WILL SEE ON MALDEN BOY, SURE YOU WILL LOOK FORWARD ON ME BOY.","muday"
STRM_m07r08,"Ne","DRAGONFLY 11 FOR THE TOWER. THE CARGO IS ON THE BOARD. WE'RE LEAVING. OVER.","dragonfly"
STRM_m07r09,"Ne","COPPY THAT DRAGONFLY. THE AIR AREA CLEAR, VISIBILITY GOOD. HAPPY JOURNEY. OUT.","dragonfly"

STRM_m07away1,"Ne","Twombly where you think you're going? It's a wrong side!","sol"
STRM_m07away2,"Ne","Fuck where am I going? It's enemy teritorry I must to turn around and go back.","jason"

"STRM_M07h1","Právě jste obdržel NV brýle.","You've received NV goggles.","hint"
"STRM_M07h2","Následujte vojáka.","Follow the soldier.","hint"
"STRM_M07h3","Prohledejte místo havárie a doplňte si munici.","Check the crash place and fulfil your ammo.","hint"

"STRM_M07w1","VYZVEDNOUT BRAVO","LOAD BRAVO","waypoint"
"STRM_M07w2","NAHLÁSIT SE MUDAYEMU","REPORT TO MUDAY","waypoint"
"STRM_M07w3","ZAPARKOVAT NÁKLAĎÁK","PARK THE TRUCK","waypoint"
"STRM_M07w4","MALDEN","MALDEN","waypoint"
"STRM_M07w5","SETKÁNÍ","MEETING","waypoint"
"STRM_M07w6","NASTOUPIT","GET IN","waypoint"

"STRM_M07m1","Evakuační místo","Evacuation place","marker"
"STRM_M07m2","Malden","Malden","marker"
"STRM_M07m3","Místo havárie","Crash place","marker"
