"LANGUAGE","Czech","English","Comment"

"STRM_ONLOAD_INTRO","O pár minut pozdějí","Few minutes later","loading screen"
"STRM_ONLOAD_MISSION","V zajetí","In the captivity","loading screen"


"STRM_m08v01","Ne","My colleague has already told me you can speak Russian, American.\nBut I'm gonna speak in English to you as a gesture of goodwill toward the prisoner.","rashiv"
"STRM_m08v02","Ne","Speak with me as ever you want and fuck you.","jason"
"STRM_m08v03","Ne","Weigh your words wisely, American. Or should I call you a traitor?\nA lot of Kalashnikovs are aiming at you.\nI'll hear one more crooked word and I'll drive my bullet through your head.","rashiv"
"STRM_m08v04","Ne","I said fuck you!","jason"
"STRM_m08v05","Ne","Brave boy. You're really lucky that we've got an order to bring the prisoners to the commander.\nWe'll see as a big mouth you'll have in his presence, comrade.","rashiv"
"STRM_m08v06","Ne","Your orders comrade Rashiv?","sol"
"STRM_m08v07","Ne","Take him to the ural. Let him speak with his brothers. We're gonna to take them all to major Lemontov. Be prepared in five minutes.","rashiv"

"STRM_m08v08","Ne","Comrade Lieutenant, have a rest. You don't have to salute me in front of his group of American insects.","lemontov"
"STRM_m08v09","Ne","Yes, comrade Lemontov.","rashiv"
"STRM_m08v10","Ne","So what did you bring to me? Could here be fresh meat into the mill?","lemontov"
"STRM_m08v11","Ne","That guy on the top of the left speaks very good Russian. I think he is one of us.","rashiv"
"STRM_m08v12","Ne","Russian in American numbers? So let's see I'll speak with him. The others get to the tomb.","lemontov"

"STRM_m08v13","Ne","Well, American. You must be asking yourself, why I wanted you here.\nDon't worry you'll get the answer, although it will depend on you.","lemontov"
"STRM_m08v14","Ne","Simply for the beginning, tell me your name, number and rank.","lemontov"



"STRM_m08v15a","Ne","81452, private Jason Twombly.","jason"
"STRM_m08v16a","Ne","You didn't understand me, boy. I don't want your wrong English name, but your true Russian name.\nLet's try it again, please. What's your name?","lemontov"

"STRM_m08v17a","Ne","Alright then. My name is Yevgeny Tarasenko.\nWhen I was 14 my parents escaped from Soviet Union with me to the USA.\nThey were rocket experts and they wanted to go for the better life and forget everything from the red country.","jason"
"STRM_m08v18a","Ne","Hahaha, there is great cooperation with you, Yevgeny.\nYou know, I'm not a bad person. I do not blame you for betraying the great Soviet empire and rather join the other side of the barricade.\nI understand you, your family wanted to go for the better life.","lemontov"

"STRM_m08v15b","Ne","Fuck you.","jason"
"STRM_m08v16b","Ne","Maybe I did not say it seriously.\nComrade sergeant?","lemontov"
"STRM_m08v17b","Ne","I think we've got it, comrade.\nHis name is Yevgeny Tarasenko and he's child of Tarasenko family who we were finding.","computer"
"STRM_m08v18b","Ne","I see, your parents are the rocket experts.\nIt's a shame to escape from your born country and started the new life by the sea.","lemontov"

"STRM_m08v1a_b","Ne","But now I offer you a new opportunity to go further.\nYou can join us. Defend the colors of your true land, your true inner self.\nLook at Uncle Sam.","lemontov"
"STRM_m08v2a_b","Ne","He left you here on this island, your command left you to death,\nbut I'm fair. I'm not like the others.","lemontov"
"STRM_m08v3a_b","Ne","Your story has left me with a good feeling about you, Mr. Twombly.\nI am sorry, should I say Tarasenko?\nI leave it up to you.",",lemontov"
"STRM_m08v4a_b","Ne","As I said. You can join us and honor your true country,\nor you can forever stay in the prison of the west and keep looking around as the world of capitalism throws dirt on you.\nMake your choice.",",lemontov"


"STRM_m08v1a","Ne","To be honest? I'm disappointed from the USA.\nMy parents and I were thinking, that we would have, better live by the ocean, but when I'm thinking about it, only the Soviet Union can give me a feeling of happiness and joynment.\nAmerica gave me the opposite. I go with you.","jason"
"STRM_m08v2a","Ne","Nice choice comrade Tarasenko.\nI knew you choice right.","lemontov"

"STRM_m08v1b","Ne","Originally I am Russian, but the meaning of that sentence gives the word ORIGINALLY.\nI don't want to be rude, but I have become an American and I will remain.\nI don't care about your fucking Bolshevik country.","jason"
"STRM_m08v2b","Ne","Even after defeat on Everon, I won't burn my American flag. Period.\nIs there anything else? Or will you continue to bothers me with bullshit?","jason"
"STRM_m08v3b","Ne","These are the words of a man. Too bad you choiced that way, Tarasenko, then Twombly, right?\nThe Soviet Union could give you something more than this ridiculous accent.","lemontov"
"STRM_m08v4b","Ne","Put him under the lock to the others...","lemontov"

"STRM_m08v1c","Ne","Damn, I’ve never known I'd ever say that but fuck you! Yes!\nYou and all your fucking Bolshevik suckers!\nYou've ruined my whole life! I wish I have never entered the fucking army! You fucking bitch!","jason"
"STRM_m08v2c","Ne","Take this whining slut. We're done with him.","lemontov"

"STRM_m08v15","Ne","Fire!","rashiv"
"STRM_m08v16","Ne","Alarm! Alarm!","rus"
"STRM_m08v17","Ne","That's are rebels! It's our chance! Run!","american"
"STRM_m08v18","Ne","Oh ... yeah, I got it. But I must not delay and move on.\nI should go deep into the forest where I definitely have a better chance of hiding than in the open terrain.\nMaybe the Russians won't find me. Perhaps I'll meet other countrymen... or more troubles.","jason"
"STRM_m08v19","Ne","Fuck I've slept! Fuck! I have to go further!\n I'll try to reach end of this wood.","jason"
"STRM_m08v20","Ne","Damn, Russians, they're already going to search for us, but wait... I've got an idea!","jason"

"STRM_m08v21","Ne","My turn now...","jason"


"STRM_m08t1","Ne","Few 10 minutes later...","text"
"STRM_m08t2","Ne","THE END","text"

"STRM_m08h1","Ne","Run! Try to avoid the road!","hint"
"STRM_m08h2","Ne","Hide in the forest.","hint"
"STRM_m08h3","Ne","Kill all Russians.","hint"


"STRMA_1","Ne","Accept","action"
"STRMA_2","Ne","Refuse","action"
"STRMA_3","Ne","Join the Soviets","action"
"STRMA_4","Ne","Fuck with him","action"
