LANGUAGE,English,Czech,Comment


STRM_ONLOAD_MISSION,Disguised in a Russian officer,V přestrojení za ruského důstojníka,loading screen


STRM_m09ah01,"Now you will get a group of Russian soldiers under your command. First change your uniform in the field hospital, then take the plan in your tent and try to use your command skills!","Nyní dostanete pod své velení skupinu ruských vojáků. Nejprve se ale vylečte, poté si vyzvedněte plán operace ve svém stanu a potom vyhledejte své mužstvo a zkuste si zavelet!",Hint
STRM_m09ah02,What are you doing? You cann't join your group now. You have to heal and pick up documents with mission plan!,Co to děláte? K družustvu se nemůžete připojit. Musíte se vyléčit a vzít si doklady s plánem své mise!,Hint
STRM_m09ah03,Well done! Now you can check the plan with action menu whenever you want during the operation.,Výborně! Nyní kdykoliv v průběhu operace si můžete plán prostudovat díky nabídce činností.,Hint
STRM_m09ah04,"Operation MAT plan\n\nThe objetive of this opeation is break the resistance of Everon and arrest their commander Jean Poincare, thanks to that the Soviet Union gains a full power over the island. Operation is under the command of comrade Blashkov. His squad Alexei will be landing near the partisan forest by Mi17.\n\nThe plan by comrade Mikhail Dostoevsky",PLÁN OPERACE MAT\n\nCílem operace je zlomit poslední odpor Everonských povstalců a dostat tak pod kontrolu celý ostrov. Tato operace spadá pod velení soudruha seržanta Blashkova.\nÚtoku se zůčastní pouze on s jeho skupinou Alexei. Družstvo bude na místo dostaven pomocí vrtulníku Mi17 Hind.\n\nPlán soudruha seržanta Mikhaila Dostojevského.,Hint
STRM_m09ah05,Great! Now join the Alexei group by the flag.,Po vstupu do polního stanu jste si vzal jinou uniformu.,Hint
STRM_m09ah06,Get in Mi17.,Po vstupu do polního stanu jste si vzal jinou uniformu.,Hint
STRM_m09ah07,Success! The rebel's camp has been seized!,Splněno! Tábor partyzánů dobyt!,Hint
STRM_m09ah08,Go to Le Moule.,Jeďte do Le Moule.,Hint
STRM_m09ah09,Deliver the packet to Morton.,Dovezte zásilku do Mortonu.,Hint
STRM_m09ah10,Go to Montignac.,Dovezte zásilku do Mortonu.,Hint
STRM_m09ah11,You've got keys from the boat. Now you might get in!,Dovezte zásilku do Mortonu.,Hint
STRM_m09ah12,0-0 - Radio menu\n1 - send a helicopter,Dovezte zásilku do Mortonu.,Hint


STRM_m09aa1,Take the documents,Vzít dokumenty,text
STRM_m09aa2,Read the plan,Přečíst si plán,text
STRM_m09aa3,Send the helicopter,Pošlete vrtulník,text



STRM_m09av01,First I should get to Montignac.\nI'll take a new uniform there and then go further.,Měl bych jet nejdřív do Montigancu.\nTam si vezmu novou uniformu a pojedu dál.,jason

STRM_m09av02,"I've not seen you already. Who are you, comrade?","Vás jsem tu ještě neviděl. Kdo jste, soudruhu?",kozlov
STRM_m09av03,I am... Victor Blashkov.,Jsem... Victor Blashkov.,jason
STRM_m09av04,Are you Blashkov? What happened to you?,Vy jste Blashkov? Co se vám to stalo?,kozlov
STRM_m09av05,"What? Yeah, the rebels have attacked us. I was the only one, who survived, comrade.","Co? Jo, přepadli nás rebelové. Já jsem byl jediný, kdo to přežil, soudruhu.",jason
