LANGUAGE,English,Czech,Comment

STRM_ONLOAD_INTRO,Malden,Malden,loading screen
STRM_ONLOAD_MISSION,,,loading screen


STRM_M10v01,"After I identificated to my friendly units, I really began to believe, that army has already ended for me.","ne",jason
STRM_M10v02,"Although I missed.","ne",jason

STRM_M10v02,"Impresive story, Twombly... impressive indeed.","Dojemný příběh, Twombly... vskutku dojemný.",muday
STRM_M10v03,"Yes, sir. It was really black day, but at last it was succeeded. I just look forward to go home, sir.","Ano, pane. Byla to síla, ale nakonec jsem se z ostrova dostal, no a zbytek už znáte.\nNemůžu se ale dočkat, až si po tom všem doma odpočinu.",jason
STRM_M10v04,"Home? Did you say something about home, soldier?","Doma? Říkal jste snad něco o domově, vojáku?",muday
STRM_M10v05,"Ehm... yes, sir. Colonel Summers actually said...","Ehm... ano, pane. Vždyť plukovník Summers říkal, že...",jason
STRM_M10v06,"Soldier, if you've not noticed the situation is getting worse this time.\nIt might happen, that the Russians are going to attack. Therefore the new regulations are clear!\nStay on Malden.","Vojáku, pokud jste si nevšiml, tak situace poslední dobou nevypadá dobře.\nHrozí, že Rusové zaútočí. Proto jsou nová nařízení od nejvyžšího velení jasná!\nZůstat na Maldenu!",muday
STRM_M10v07,,"Ale pane, to snad nemyslíte vážně, do prdele, vždyť...",jason
STRM_M10v08,"What? What did you say? This is as you talk to me? Are you fucking madness, soldier?\nDo you want to the judge, or what?","Cože? Co jste to řekl? To jako mluvíte se mnou? Zešílel jste, vojáku!?\nChcete jít před soud, nebo co!?",muday
STRM_M10v09,"No, sir, I... I'm sorry, I didn't compose myself...","Ne, pane, já... promiňte, pane, neovlád jsem se, já...",jason
STRM_M10v10,Soldier. Follow me.,Vojáku. Pojďte se mnou.,muday

STRM_M10v11,Take of your trousers!,Kalhoty dolů!,muday
STRM_M10v12,"Ehm... what, please?",Ehm... prosím?,jason
STRM_M10v13,"I said, the trousers down! Now! Come the fuck on!","Řekl jsem kalhoty dolů! Hned! Dělej, do prdele!",muday


STRM_M10v14,,"Po necelých čtyřech týdnech, co se 61. pluk US. Army stáhl z Everonu na Malden,\njsou mírová jednání mezi Spojenými státy a Sovětským svazem stále na bodu mrazu.\nObě strany na sebe ukazují prsty a vypadá to, že verdikt nebude znám ještě hodně dlouho.",radio
STRM_M10v15,,"Nyní zavládl na Everonu totalitní režim v čele s novým prezidentem Martinem Honušem.\nZdá se, že lidé jsou spokojeni se současnou Everonskou vládou.\nNyní na ostrově zas panuje klid a mír.",radio
STRM_M10v16,,"Po vyhlášení nově vzniklé Everonské lidové republiky se Rudá armáda přesunula zpátky na Kolgujev.\nHlavní základnu v tichomoří.\nSovětský svaz slaví vítězství, zatímco Amerika truchlí.",radio
STRM_M10v17,,"Celý svět se tedy ptá:\nBude další světová válka? Americký prezident Ronald Reagan však počítá s tím, že pokud Rudá armáda napadne vojáky NATO na Maldenu,\nbude světová a tím pádem i studená válka za dveřmi.",radio

STRM_M10v18,,A co si o současné světové situaci myslí samotný představitel sovětského politbyra Leonid Brežněv? To se dozvíte za...,radio

STRM_M10v19,Stop that! Turn the fucking box off!,Dost už! Vypněte někdo tu píčovinu!,jack
STRM_M10v20,"What's the tone, Jack? Are you scared of the uncoming Russians to kick your ass?","Co ten tón, Jacku? Bojíš se, že sem Rusáci přijdou a ustřelej ti prdel?",mike
STRM_M10v21,"Shut te fuck up! Don't talk about those mutherfuckers.\nThey killed my best friend. He got it to the neck.\nHe was just 19 yeas old, we knew each other from the high school.","Drž hubu, kurva! Nemluv mi o těch sviních!\nZabili mého nejlepšího přítele. Střelili ho do krku. Bylo mu teprve 19 let, znali jsme se od střední.",jack
STRM_M10v22,"Right, asshole. I had to fight for the ticket from Everon inlike you! When the fuckers have shot down our Chinnook,\nI swimed 10 milles away, than allied cruiser has found me and got me here on Malden.","Jasně, vole. Já narozdíl od tebe jsem musel jízdenku z Everonu vybojovat! Když ty kurvy sestelili náš Chinook, musel jsem plavat deset mil, než mě našel spojenecký křížník a dopravil sem na Malden.",mike
STRM_M10v23,"Yeah. if you could russian like comrade Twombly right here,\nyou you would just take a boat and arrive in here by yourself.\nDoesn't he, Jason?","No, jo, kdybys uměl rusky, jako tady soundruh Twombly, tak by ti stačilo vzít si člun a dopravit se sem sám.\nNemám pravdu, Jasone?",jack
STRM_M10v24,"Yeah, that's right, Jack.","Jo, to máš, Jacku.",jason
STRM_M10v25,"You are champion,\nhowever I'm surprised yo watch on patrols and aren't inside somewhere in the HQ tent.","Seš borec, ale divim se, že radši po nocích stepuješ na hlídkách a nejsi zalezlej někde ve velitelskym stanu.",mike
STRM_M10v26,The big brother Muday...,Velký Bratr Muday...,jason
STRM_M10v27,,"Ten zmrd si na tebe zasednul, co?",jack
STRM_M10v28,,"Zasednul? Ty debile, vždyť Jasona píchal do prdele!",mike
STRM_M10v29,What! Are you fucking kiding? He's gay?,"Cože? Hej, děláš si prdel? On je homokládal?",jack
STRM_M10v30,"Yeah... unfortunate, even from a bugger can be lietenant.","Jo... holt, i z buzeranta se může stát poručík.",jason
STRM_M10v31,Have you told with Summers?,Říkals to Summersovi?,jack
STRM_M10v32,"Are you stupid? He would kill me, you asshole!\nEven through I had to disagree my promotion on a commander.","Ses posral, ne? To by mě ten buzerant zabil, vole!\nUž jsem kvůli tomu musel odmítnout i povýšení na velitele!",jason
STRM_M10v33,What? Really?,Co? Fakt?,jack
STRM_M10v34,,"Summers mu to nabídl.\nJenže Muday mu vyhrožoval, že pokud to přijme, udělá mu ze života peklo a tak...",mike
