"LANGUAGE","English","Czech","Comment"

"STRM_ONLOAD_INTRO","Two years ago","O dva roky dříve","loading screen"

STRM_xc1v45,Good morning Jean.,,wife
STRM_xc1v46,Maria good morning. Have you got up already?,,jean
STRM_xc1v47,"Yeah, I want to go shopping. Heve you not seen Anne?",,wife
STRM_xc1v48,"Not at all. She's maybe with Hugo somewhere. What a beautiful morning, isn't Maria?,",,jean
STRM_xc1v49,"Yes, it is...",,wife

STRM_xc1v50,"Thanks you have taken me out Hugo.",,anne
STRM_xc1v51,"You're welcome Anne. It was spectacular stroll.",,hugo
STRM_xc1v52,"Is there anything I can do for you? Would you like to go somewhere else?",,hugo
STRM_xc1v53,"No Hugo thank you. Take me home I need to clear up the entire house. I wasn't clearing for months.",,anne
STRM_xc1v54,"Anne, may I ask you... What is gonna be further bewteen us?",,hugo
STRM_xc1v55,"I said you once Hugo. You are really a good man, but most of all I... I... I want to help my parents with their farm.\nI like you, however I'm still thinking I'm not prepared yet.",,anne
STRM_xc1v56,"I know, you started a new life and your parents are magnificent",,hugo
STRM_xc1v57,"Thank you. Look around, seems it's gonna be nice weather today.",,anne
STRM_xc1v58,"That sounds good.",,hugo



STRM_xc1v01,Jean! Jean!,Jean! Jean!,wife
STRM_xc1v02,What's happening?,Co se děje?,jean

STRM_xc1v03,"It was the year of 1977.\nI had enlisted in the US Army to keep family tradition,\nhowever I had no idea that I came to the wrong place at the wrong time.","Psal se rok 1977.\nPřihlásil jsem se do Americké armády, abych dodržoval rodinou tradici.\nJenže to jsem ani tušení, že jsem přišel ve špatný čas na špatné místo.",jason
STRM_xc1v04,What is it? Move your ass and keep going! Move!,Co je to? Pohni prdelí a padej! Pohyb!,off
STRM_xc1v05,"Sir, yes, sir!","Pane, ano, pane!",jason
STRM_xc1v06,The first impression of our training camp - The Everon settlement - hadn't belonged to my best.,"Ne",jason
STRM_xc1v06a,I was born Russian and at that time my accent was as bad as the world itself.\nSo what I have actually expected in this world of rivalry?,"Ne",jason
