LANGUAGE,"english","Comment"

STR_ONLOAD_INTRO,"New enemy","loading screen"

STRM_x02v01,"Soviets. Our new enemies. They seized rebels bases like Morton, Le Moule and Lamentin in just a few hours.","Jason"
STRM_x02v02,"What the government feared happened.\nHowever, the Kremlin has defended this situation by the fact that the Red Army is only trying to liberate Everon,\nbecause it has history claims.","Jason"

STRM_x02v03,"The Russians did not declare war on us\nbut Washington was called on the Russians to withdraw Epgayd's troops from Everon.\nThe Pentagon, however, refused and ordered to Epgayd to launch an offensive on the Russians.","Jason"
STRM_x02v04,"But in the situation we were in, it was clear to every American that the offensive could not succeed.\nWhile the Soviets were in full force on Everon, we were almost down.","Jason"
STRM_x02v05,"Although colonel Epgayd was believed in success.","Jason"

STRM_x02v06,"Fuck it! What the fuck they're doing here? They can't just invade Everon, overwhelm the rebels and fucking with us!","epgayd"
STRM_x02v07,"We can't waste time, sir. We must strike immediately.\nWe will attack them with such great force that they will never push their Bolshevik ass out of the Soviet Union again!","muday"
STRM_x02v08,"James, we must capitulate immediately! We can't win! When we had problems with the rebels, a trained Red Army flushes us out as easily as shit to the toilet. Many people would have died unnecessarily.","george"
STRM_x02v09,"It's an order major! And if we don't try, we might lose Everon. President Carter would certainly not like that, and the Soviet Union would go even further and attack the United States! Do you want to risk the 3rd world?!","muday"
STRM_x02v10,"Reasonable negotiations have always belonged to my profession, Lieutenant Mudaya.","george"
STRM_x02v11,"Gentlemen, in fact we've diged a very deep grab here. In any case if we don't attack, they will and therefore we are going to be first.","epgayd"
STRM_x02v12,"Sir yes sir!","Muday"
STRM_x02v13,"James did you not to think about it yet?","george"
STRM_x02v14,"Think about what, George! This order is from the highest HQ! We have no choice!","epgayd"
STRM_x02v15,"Yes, we hove no choice again.\nAlright, I am lstening.","george"
STRM_x02v16,"Let's do it this way, look...","epgayd"

STRM_t1,"C H A P T E R   I I","",me
STRM_t2,"N E W   B A T L E   O F   E V E R O N","",me
